CA,Qdot,Volume,Qdat(J/deg)
-13,96882200,2.09905E-05,0.169467151591667
-12,3.37E+08,2.03E-05,0.5694588606
-11,1.26E+09,1.97E-05,2.06065837791667
-10,4.90E+09,1.91E-05,7.783875569
-9,6.60E+09,1.85E-05,10.1940620786667
-8,7.54E+09,1.81E-05,11.35489153575
-7,8.60E+09,1.76E-05,12.644725995
-6,9.24E+09,1.73E-05,13.313489437
-5,9.76E+09,1.70E-05,13.8064465
-4,1.06E+10,1.67E-05,14.7272270416667
-3,1.09E+10,1.65E-05,14.9676453458333
-2,1.14E+10,1.64E-05,15.62539053
-1,1.13E+10,1.63E-05,15.286899895
0,1.15E+10,1.63E-05,15.547631025
1,1.11E+10,1.63E-05,15.123345525
2,1.11E+10,1.64E-05,15.10133082
3,1.08E+10,1.65E-05,14.8277260591667
4,1.06E+10,1.67E-05,14.7931415625
5,1.05E+10,1.70E-05,14.7939954166667
6,1.01E+10,1.73E-05,14.59151045
7,9.98E+09,1.76E-05,14.670582237
8,9.60E+09,1.81E-05,14.4539453925833
9,9.41E+09,1.85E-05,14.5429885725833
10,9.21E+09,1.91E-05,14.6346180743333
11,8.89E+09,1.97E-05,14.5628486076667
12,8.64E+09,2.03E-05,14.61521826
13,8.23E+09,2.10E-05,14.39785623625
14,8.00E+09,2.17E-05,14.4935521035
15,7.63E+09,2.25E-05,14.324450472
16,7.30E+09,2.34E-05,14.221900563
17,7.02E+09,2.43E-05,14.21990780225
18,6.73E+09,2.53E-05,14.1684815985
19,6.47E+09,2.63E-05,14.1560357499167
20,6.14E+09,2.73E-05,13.9800726541667
21,5.79E+09,2.84E-05,13.7358815629167
23,4.52E+09,3.08E-05,11.6075566920833
25,3.53E+09,3.34E-05,9.834164748
27,3.12E+09,3.62E-05,9.40495616266667
29,2.67E+09,3.91E-05,8.69831343908334
30,2.47E+09,4.06E-05,8.36820376
32,2.43E+09,4.39E-05,8.89076955866667
34,2.08E+09,4.73E-05,8.20030896333334
36,1.89E+09,5.08E-05,8.01107690625
38,1.75E+09,5.45E-05,7.928298
40,1.50E+09,5.84E-05,7.30585061508333
42,1.26E+09,6.24E-05,6.54837586975
44,1.08E+09,6.65E-05,5.97499619283333
46,9.38E+08,7.08E-05,5.53354461195
48,8.24E+08,7.52E-05,5.1616089298
50,7.24E+08,7.97E-05,4.80578886985
52,6.41E+08,8.43E-05,4.50358077076667
54,5.72E+08,8.90E-05,4.24147649845833
56,5.16E+08,9.37E-05,4.02741643525
58,4.67E+08,9.86E-05,3.84048831585
60,4.25E+08,0.000103519,3.66598735966667
64,3.55E+08,0.000113549,3.35642327825
68,3.01E+08,0.000123754,3.10595726633333
72,2.60E+08,0.000134065,2.90293178916667
76,2.26E+08,0.000144418,2.7254203915
80,2.00E+08,0.000154749,2.57519100475
85,1.73E+08,0.00016754,2.41707165666667
90,1.53E+08,0.000180092,2.28947958066667
95,1.35E+08,0.000192307,2.16954347166667
100,1.20E+08,0.000204095,2.044011425
105,1.08E+08,0.000215378,1.93788150316667
110,9.74E+07,0.000226093,1.83563399413333
116,8.69E+07,0.000238122,1.7249041749
