CA	v	p	T	NOX	Soot	u'
-144	0.000280703	267130	336	0	0	0.816496
-144	0.000280703	267130	336	0	0	0.816496
-144	0.000280703	267131	336	0	0	0.816496
-143.999	0.000280703	267131	336	0	0	0.816495
-143.999	0.000280702	267131	336	0	0	0.816495
-143.999	0.000280702	267132	336.001	0	0	0.816494
-143.998	0.000280702	267132	336.001	0	0	0.816493
-143.998	0.000280701	267133	336.001	0	0	0.816492
-143.998	0.000280701	267134	336.001	0	0	0.816491
-143.997	0.0002807	267135	336.002	0	0	0.81649
-143.996	0.000280699	267136	336.002	0	0	0.816489
-143.995	0.000280698	267137	336.003	0	0	0.816488
-143.994	0.000280697	267139	336.003	0	0	0.816488
-143.993	0.000280696	267141	336.004	0	0	0.816488
-143.991	0.000280694	267143	336.005	0	0	0.81649
-143.99	0.000280692	267146	336.006	0	0	0.816494
-143.987	0.000280689	267149	336.007	0	0	0.816501
-143.985	0.000280687	267153	336.009	0	0	0.816511
-143.981	0.000280683	267158	336.011	0	0	0.816526
-143.978	0.000280679	267164	336.013	0	0	0.816546
-143.973	0.000280674	267171	336.016	0	0	0.816572
-143.968	0.000280668	267179	336.019	0	0	0.816601
-143.961	0.00028066	267189	336.023	0	0	0.816633
-143.953	0.000280652	267201	336.028	0	0	0.816668
-143.944	0.000280641	267216	336.033	0	0	0.816702
-143.932	0.000280629	267233	336.04	0	0	0.816735
-143.919	0.000280614	267254	336.048	0	0	0.816766
-143.902	0.000280596	267279	336.058	0	0	0.816793
-143.883	0.000280574	267309	336.069	0	0	0.816815
-143.859	0.000280548	267344	336.083	0	0	0.81683
-143.832	0.000280518	267387	336.099	0	0	0.816837
-143.798	0.000280481	267438	336.119	0	0	0.816831
-143.758	0.000280437	267499	336.143	0	0	0.816807
-143.711	0.000280384	267572	336.171	0	0	0.816762
-143.656	0.000280324	267656	336.203	0	0	0.816692
-143.591	0.000280251	267757	336.242	0	0	0.816597
-143.517	0.000280169	267871	336.286	0	0	0.816486
-143.431	0.000280072	268004	336.337	0	0	0.81634
-143.323	0.000279952	268171	336.401	0	0	0.81615
-143.215	0.000279831	268338	336.466	0	0	0.815975
-143.108	0.00027971	268507	336.53	0	0	0.815812
-143	0.000279589	268675	336.595	0	0	0.815652
-142.875	0.000279447	268872	336.671	0	0	0.815461
-142.729	0.000279281	269103	336.759	0	0	0.815219
-142.547	0.000279073	269392	336.87	0	0	0.814886
-142.273	0.000278759	269829	337.036	0	0	0.814376
-142	0.000278443	270270	337.204	0	0	0.813879
-141.667	0.000278054	270812	337.409	0	0	0.813289
-141.333	0.000277662	271360	337.616	0	0	0.812753
-141	0.000277267	271914	337.826	0	0	0.812256
-140.75	0.000276968	272334	337.985	0	0	0.811897
-140.562	0.000276743	272652	338.105	0	0	0.811635
-140.375	0.000276516	272972	338.227	0	0	0.811377
-140.25	0.000276365	273186	338.308	0	0	0.811208
-140.125	0.000276213	273402	338.39	0	0	0.811042
-140.062	0.000276136	273510	338.431	0	0	0.81096
-140	0.00027606	273618	338.472	0	0	0.810878
-139.929	0.000275973	273742	338.519	0	0	0.810786
-139.844	0.000275869	273889	338.575	0	0	0.810679
-139.774	0.000275783	274012	338.621	0	0	0.810591
-139.688	0.000275677	274163	338.679	0	0	0.810485
-139.645	0.000275624	274238	338.707	0	0	0.810433
-139.595	0.000275563	274326	338.74	0	0	0.810373
-139.541	0.000275496	274421	338.776	0	0	0.810308
-139.473	0.000275412	274540	338.821	0	0	0.810228
-139.406	0.000275328	274660	338.867	0	0	0.810148
-139.325	0.000275228	274804	338.921	0	0	0.810054
-139.271	0.00027516	274901	338.957	0	0	0.80999
-139.203	0.000275076	275021	339.003	0	0	0.809912
-139.162	0.000275026	275094	339.03	0	0	0.809865
-139.108	0.000274958	275191	339.066	0	0	0.809801
-139.054	0.00027489	275288	339.103	0	0	0.809737
-139	0.000274823	275385	339.139	0	0	0.809673
-138.941	0.000274749	275491	339.179	0	0	0.809601
-138.869	0.000274658	275622	339.228	0	0	0.809512
-138.807	0.00027458	275734	339.27	0	0	0.809434
-138.733	0.000274488	275867	339.32	0	0	0.809339
-138.69	0.000274433	275946	339.349	0	0	0.809282
-138.637	0.000274366	276043	339.385	0	0	0.809211
-138.592	0.000274309	276126	339.416	0	0	0.809149
-138.538	0.00027424	276224	339.453	0	0	0.809073
-138.478	0.000274165	276334	339.494	0	0	0.808988
-138.41	0.000274078	276459	339.54	0	0	0.808888
-138.351	0.000274004	276567	339.58	0	0	0.8088
-138.281	0.000273914	276697	339.628	0	0	0.808693
-138.234	0.000273854	276783	339.66	0	0	0.80862
